Number of Thread;Ticks;Count
1;17291;2826
2;2379;2826
3;2979;2826
4;3152;2826
5;3287;2826
6;3624;2826
7;4473;2826
8;4786;2826
9;5204;2826
10;5935;2826
11;6179;2826
12;7528;2826
13;7062;2826
14;7213;2826
15;7968;2826
16;8385;2826
17;9464;2826
18;9746;2826
19;9899;2826
20;11089;2826
21;10393;2826
22;11573;2826
23;12918;2826
24;16012;2826
25;14279;2826
26;15856;2826
27;15296;2826
28;15104;2826
29;14562;2826
30;17252;2826
31;15831;2826
32;17411;2826
33;18058;2826
34;19439;2826
35;19855;2826
36;19961;2826
37;18837;2826
38;19877;2826
39;25386;2826
40;21703;2826
41;21364;2826
42;22510;2826
43;22389;2826
44;24430;2826
45;23508;2826
46;23400;2826
47;23832;2826
48;25658;2826
49;26337;2826
50;27325;2826
