Number of threads;Ticks;Result;
1;16.326;1.912,13;
2;1.982;1.912,13;
3;2.693;1.912,13;
4;3.193;1.912,13;
5;3.353;1.912,13;
6;3.805;1.912,13;
7;3.866;1.912,13;
8;4.618;1.912,13;
9;5.489;1.912,13;
10;5.336;1.912,13;
11;5.652;1.912,13;
12;6.142;1.912,13;
13;7.549;1.912,13;
14;7.581;1.912,13;
15;7.660;1.912,13;
16;8.042;1.912,13;
17;8.498;1.912,13;
18;9.101;1.912,13;
19;9.781;1.912,13;
20;10.203;1.912,13;
21;10.826;1.912,13;
22;10.166;1.912,13;
23;10.967;1.912,13;
24;11.090;1.912,13;
25;12.205;1.912,13;
26;14.148;1.912,13;
27;15.970;1.912,13;
28;13.439;1.912,13;
29;14.299;1.912,13;
30;14.151;1.912,13;
31;17.609;1.912,13;
32;15.538;1.912,13;
33;16.023;1.912,13;
34;16.847;1.912,13;
35;18.140;1.912,13;
36;16.763;1.912,13;
37;17.331;1.912,13;
38;18.311;1.912,13;
39;23.530;1.912,13;
40;19.696;1.912,13;
41;19.302;1.912,13;
42;20.097;1.912,13;
43;20.195;1.912,13;
44;20.292;1.912,13;
45;22.204;1.912,13;
46;22.321;1.912,13;
47;24.115;1.912,13;
48;25.900;1.912,13;
49;23.721;1.912,13;
50;24.313;1.912,13;
