- PID: 0	Name: Idle	Virtual memory: 0,01 MB
- PID: 4	Name: System	Virtual memory: 17,00 MB
- PID: 172	Name: Registry	Virtual memory: 174,31 MB
- PID: 528	Name: smss	Virtual memory: 2.101.288,68 MB
- PID: 780	Name: csrss	Virtual memory: 2.101.349,75 MB
- PID: 876	Name: wininit	Virtual memory: 2.101.315,74 MB
- PID: 948	Name: services	Virtual memory: 2.101.332,98 MB
- PID: 960	Name: lsass	Virtual memory: 2.101.363,36 MB
- PID: 644	Name: svchost	Virtual memory: 2.101.411,78 MB
- PID: 636	Name: fontdrvhost	Virtual memory: 2.101.320,82 MB
- PID: 476	Name: WUDFHost	Virtual memory: 2.101.312,57 MB
- PID: 1216	Name: svchost	Virtual memory: 2.101.392,70 MB
- PID: 1268	Name: svchost	Virtual memory: 2.101.326,14 MB
- PID: 1432	Name: svchost	Virtual memory: 2.101.330,78 MB
- PID: 1476	Name: svchost	Virtual memory: 2.101.319,23 MB
- PID: 1484	Name: svchost	Virtual memory: 2.101.329,36 MB
- PID: 1496	Name: svchost	Virtual memory: 2.101.347,04 MB
- PID: 1684	Name: svchost	Virtual memory: 2.101.357,02 MB
- PID: 1728	Name: svchost	Virtual memory: 2.101.450,27 MB
- PID: 1736	Name: svchost	Virtual memory: 2.101.332,94 MB
- PID: 1744	Name: svchost	Virtual memory: 2.101.330,05 MB
- PID: 1852	Name: svchost	Virtual memory: 2.101.322,73 MB
- PID: 1896	Name: svchost	Virtual memory: 2.101.338,94 MB
- PID: 1904	Name: svchost	Virtual memory: 2.101.343,91 MB
- PID: 1984	Name: svchost	Virtual memory: 2.101.360,76 MB
- PID: 2092	Name: svchost	Virtual memory: 2.101.327,45 MB
- PID: 2172	Name: svchost	Virtual memory: 2.101.321,84 MB
- PID: 2180	Name: svchost	Virtual memory: 2.101.342,86 MB
- PID: 2220	Name: NVDisplay.Container	Virtual memory: 2.101.379,59 MB
- PID: 2316	Name: svchost	Virtual memory: 2.101.351,48 MB
- PID: 2352	Name: svchost	Virtual memory: 2.101.315,07 MB
- PID: 2452	Name: svchost	Virtual memory: 2.105.475,45 MB
- PID: 2460	Name: svchost	Virtual memory: 2.101.319,22 MB
- PID: 2468	Name: svchost	Virtual memory: 2.101.326,37 MB
- PID: 2476	Name: svchost	Virtual memory: 2.101.336,20 MB
- PID: 2484	Name: svchost	Virtual memory: 2.101.348,37 MB
- PID: 2624	Name: svchost	Virtual memory: 2.101.336,69 MB
- PID: 2656	Name: Memory Compression	Virtual memory: 158,00 MB
- PID: 2692	Name: svchost	Virtual memory: 2.101.330,55 MB
- PID: 2736	Name: dasHost	Virtual memory: 2.101.332,31 MB
- PID: 2768	Name: svchost	Virtual memory: 2.101.326,91 MB
- PID: 2776	Name: svchost	Virtual memory: 2.101.372,60 MB
- PID: 3028	Name: svchost	Virtual memory: 2.101.433,64 MB
- PID: 3180	Name: WmiPrvSE	Virtual memory: 2.101.325,63 MB
- PID: 3324	Name: svchost	Virtual memory: 2.101.325,59 MB
- PID: 3444	Name: svchost	Virtual memory: 2.101.349,57 MB
- PID: 3648	Name: svchost	Virtual memory: 2.101.342,77 MB
- PID: 3656	Name: svchost	Virtual memory: 2.101.317,48 MB
- PID: 3664	Name: svchost	Virtual memory: 2.101.338,12 MB
- PID: 3880	Name: svchost	Virtual memory: 2.101.322,53 MB
- PID: 3980	Name: svchost	Virtual memory: 2.101.399,99 MB
- PID: 3520	Name: svchost	Virtual memory: 2.101.343,98 MB
- PID: 4208	Name: wlanext	Virtual memory: 2.101.331,88 MB
- PID: 4216	Name: spoolsv	Virtual memory: 2.101.358,97 MB
- PID: 4224	Name: conhost	Virtual memory: 2.101.327,86 MB
- PID: 4336	Name: svchost	Virtual memory: 2.101.367,99 MB
- PID: 4448	Name: svchost	Virtual memory: 2.101.325,72 MB
- PID: 4796	Name: Corsair.Service	Virtual memory: 255,14 MB
- PID: 4808	Name: CorsairGamingAudioCfgService64	Virtual memory: 4.184,59 MB
- PID: 4816	Name: CueLLAccessService	Virtual memory: 4.199,28 MB
- PID: 4832	Name: AdjustService	Virtual memory: 127,49 MB
- PID: 4836	Name: svchost	Virtual memory: 2.101.443,83 MB
- PID: 4848	Name: svchost	Virtual memory: 2.101.332,61 MB
- PID: 4856	Name: svchost	Virtual memory: 2.101.666,81 MB
- PID: 4872	Name: RzSDKService	Virtual memory: 458,13 MB
- PID: 4880	Name: nvcontainer	Virtual memory: 2.101.448,93 MB
- PID: 4888	Name: svchost	Virtual memory: 2.101.609,23 MB
- PID: 4900	Name: RtkAudUService64	Virtual memory: 4.199,43 MB
- PID: 4924	Name: svchost	Virtual memory: 2.101.314,80 MB
- PID: 4932	Name: RazerCentralService	Virtual memory: 333,46 MB
- PID: 4940	Name: RzSDKServer	Virtual memory: 62,42 MB
- PID: 4956	Name: RzChromaStreamServer	Virtual memory: 44,94 MB
- PID: 4964	Name: GameManagerService	Virtual memory: 488,78 MB
- PID: 4980	Name: sqlwriter	Virtual memory: 4.171,56 MB
- PID: 5024	Name: AGMService	Virtual memory: 104,69 MB
- PID: 5032	Name: svchost	Virtual memory: 2.101.454,28 MB
- PID: 5040	Name: AGSService	Virtual memory: 91,84 MB
- PID: 5052	Name: wallpaperservice32_c	Virtual memory: 25,25 MB
- PID: 5072	Name: svchost	Virtual memory: 2.101.317,71 MB
- PID: 5080	Name: PanGPS	Virtual memory: 2.101.381,76 MB
- PID: 5100	Name: TeamViewer_Service	Virtual memory: 2.101.407,57 MB
- PID: 5112	Name: svchost	Virtual memory: 2.101.366,54 MB
- PID: 5180	Name: svchost	Virtual memory: 2.101.330,35 MB
- PID: 5440	Name: svchost	Virtual memory: 2.101.360,57 MB
- PID: 5488	Name: gamingservicesnet	Virtual memory: 2.101.309,74 MB
- PID: 5724	Name: svchost	Virtual memory: 2.101.343,65 MB
- PID: 5776	Name: gamingservices	Virtual memory: 2.101.432,05 MB
- PID: 6500	Name: unsecapp	Virtual memory: 2.101.315,78 MB
- PID: 5712	Name: svchost	Virtual memory: 2.101.318,60 MB
- PID: 7608	Name: Razer Synapse Service	Virtual memory: 678,44 MB
- PID: 7644	Name: svchost	Virtual memory: 2.101.319,55 MB
- PID: 8100	Name: svchost	Virtual memory: 2.101.370,52 MB
- PID: 7312	Name: svchost	Virtual memory: 2.101.300,44 MB
- PID: 7768	Name: svchost	Virtual memory: 2.101.336,95 MB
- PID: 8916	Name: dllhost	Virtual memory: 2.101.596,66 MB
- PID: 9464	Name: svchost	Virtual memory: 2.101.363,39 MB
- PID: 9736	Name: svchost	Virtual memory: 2.101.322,22 MB
- PID: 9800	Name: svchost	Virtual memory: 2.101.386,89 MB
- PID: 10148	Name: svchost	Virtual memory: 2.101.330,32 MB
- PID: 11348	Name: svchost	Virtual memory: 2.101.382,38 MB
- PID: 12100	Name: SearchIndexer	Virtual memory: 2.101.796,76 MB
- PID: 11524	Name: svchost	Virtual memory: 2.101.396,07 MB
- PID: 11960	Name: SecurityHealthService	Virtual memory: 2.101.371,12 MB
- PID: 18688	Name: svchost	Virtual memory: 2.101.347,37 MB
- PID: 5260	Name: SgrmBroker	Virtual memory: 2.101.318,01 MB
- PID: 13920	Name: svchost	Virtual memory: 2.101.338,93 MB
- PID: 21560	Name: svchost	Virtual memory: 2.101.343,02 MB
- PID: 7920	Name: svchost	Virtual memory: 2.101.857,70 MB
- PID: 14332	Name: svchost	Virtual memory: 2.101.369,08 MB
- PID: 27732	Name: svchost	Virtual memory: 2.101.332,85 MB
- PID: 11428	Name: svchost	Virtual memory: 2.101.327,91 MB
- PID: 19104	Name: svchost	Virtual memory: 2.101.322,80 MB
- PID: 30628	Name: svchost	Virtual memory: 2.101.319,62 MB
- PID: 40644	Name: svchost	Virtual memory: 2.101.341,21 MB
- PID: 38036	Name: svchost	Virtual memory: 2.101.334,37 MB
- PID: 34612	Name: svchost	Virtual memory: 2.101.335,88 MB
- PID: 7432	Name: svchost	Virtual memory: 2.101.335,29 MB
